URL,Size,OutLinks,ContentType
https://www.nbcnews.com/video/38-vehicle-accident-closes-i-94-in-michigan-1158174275674,319122,146,text/html
https://www.nbcnews.com/widget/video-embed/975928899556,18083,3,text/html
https://www.nbcnews.com/widget/video-embed/1106469443635,19981,3,text/html
https://www.nbcnews.com/feature/megyn-kelly/how-find-good-drug-treatment-program-avoid-bad-ones-n776101,81522,95,text/html
https://www.nbcnews.com/feature/megyn-kelly/death-race-florida-first-responders-rush-one-overdose-next-n776111,87646,96,text/html
https://www.nbcnews.com/nightly-news/video/drug-rehab-scams-are-fueling-overdoses-in-florida-officials-say-974914627532,372104,168,text/html
https://www.nbcnews.com/feature/megyn-kelly/florida-s-billion-dollar-drug-treatment-industry-plagued-overdoses-fraud-n773376,133224,143,text/html
https://www.nbcnews.com/storyline/americas-heroin-epidemic/amp/rubio-asks-feds-crack-down-florida-sober-homes-drug-rehabs-n845041,39135,23,text/html
https://www.nbcnews.com/news/amp/ncna844226,54968,61,text/html
https://www.nbcnews.com/pop-culture/movies/star-wars-last-jedi-force-strong-these-new-characters-n825956,61464,38,text/html
https://www.nbcnews.com/news/us-news/parkland-school-shooting-possible-paths-nikolas-cruz-s-defense-n848696,69465,89,text/html
https://www.nbcnews.com/news/us-news/13-killed-helicopter-crash-oaxaca-after-mexican-quake-n849041,67878,80,text/html
https://www.nbcnews.com/video/-star-wars-fans-in-hollywood-for-the-last-jedi-screenings-1117286979864,319672,146,text/html
https://www.nbcnews.com/news/world/tax-breaks-paris-itself-attract-filmmakers-france-n842586,67375,84,text/html
https://www.nbcnews.com/pop-culture/movies/jumanji-returns-no-1-box-office-after-seven-weeks-n844596,47624,28,text/html
https://www.nbcnews.com/storyline/harvey-weinstein-scandal/jill-messick-s-family-blames-weinstein-scandal-her-suicide-n846211,73460,84,text/html
https://www.nbcnews.com/nightly-news/video/carrie-fisher-s-final-performance-is-now-on-the-big-screen-1117819971739,371202,168,text/html
https://www.nbcnews.com/pop-culture/movies/tom-hanks-play-mr-rogers-biopic-you-are-my-friend-n842326,48903,30,text/html
https://www.nbcnews.com/pop-culture/movies/maze-runner-death-cure-sprints-past-jumanji-box-office-n841826,45038,29,text/html
https://www.nbcnews.com/storyline/airplane-mode/smoking-camera-battery-sparks-shooting-scare-orlando-airport-n819966,67841,77,text/html
https://www.nbcnews.com/storyline/airplane-mode/naacp-issues-travel-advisory-against-american-airlines-warns-black-travelers-n814106,76509,85,text/html
https://www.nbcnews.com/storyline/airplane-mode/black-passenger-removed-delta-flight-after-using-bathroom-files-bias-n829661,74958,81,text/html
https://www.nbcnews.com/storyline/airplane-mode/commercial-air-travel-2017-was-safest-ever-travel-group-says-n833866,65521,79,text/html
https://www.nbcnews.com/specials/airplane-mode,236329,44,text/html
https://www.nbcnews.com/storyline/airplane-mode/boeing-slams-questionable-airbus-deal-make-bombardier-cseries-jets-alabama-n811381,66151,75,text/html
https://www.nbcnews.com/storyline/airplane-mode/colorado-infant-overheats-aboard-delayed-united-airlines-flight-n777291,76338,86,text/html
